bg_dog_id,dog name,sex,call name,dna reg ,registrations,whelp date,deceased,sire,sire_id,dam,dam_id,litter id,litter id_id,stud book,frozen semen,data_source,last updated,registered_name,image_urls,image_paths,primary_image,microchip,coat_color,eye_color,bite,height,weight,tail,rescue type
121424,SWISS SILHOUETTE'S YOU ARE MY SUNSHINE,Male,SOLOMON,,WS50521602 (AKC),"Apr 22, 2015",,SWISS SILHOUETTE'S MYSTIC RIVER,83057.0,SWISS SILHOUETTE'S FINISHING TOUCH,73788.0,37630.0,37630.0,,,BG Dog Submission,9/22/2015 4:15:00 PM,SWISS SILHOUETTE'S YOU ARE MY SUNSHINE,https://bernergarde.org/DB/images/NoPhoto2.jpg,,,985112 ...,Normal,Dark Brown,Scissor,,,Normal,
123042,RIVERMTN'S THE MUSIC MAN,Male,BERGEN,V809131 (AKC),WS48488103 (AKC),"Oct 24, 2014",,KOKOPELLI AV HISELFOSS,86722.0,RIVERMTN'S DANCE TOLOUSSE-N UP,73146.0,37696.0,37696.0,,No,BG Dog Submission,9/24/2018 11:08:00 PM,RIVERMTN'S THE MUSIC MAN,https://bernergarde.org/DB/photos/Dog/BG123042-1.jpg|https://bernergarde.org/DB/photos/Dog/BG123042-1.jpg|https://bernergarde.org/DB/photos/Dog/BG123042-2.jpg|https://bernergarde.org/DB/photos/Dog/BG123042-5.jpg,output/images/dog_123042_0.jpg|output/images/dog_123042_1.jpg|output/images/dog_123042_2.jpg|output/images/dog_123042_3.jpg,output/images/dog_123042_0.jpg,991001 ...,Normal,Dark Brown,Scissor,,115 lbs,Normal,
124204,SCHWYZ VOM RUEDERTHAL,Male,BUSTER,,"1125487 (CKC), SHSB 724145 (SKG)","Feb 10, 2014","Jun 29, 2024",BARTHOLOMEUS-BEN VD BRETTACHQUELLE,90662.0,MÄDI VOM RUEDERTHAL,90773.0,37969.0,37969.0,,,Breeder/Owner,8/26/2024 9:44:00 AM,SCHWYZ VOM RUEDERTHAL,https://bernergarde.org/DB/photos/Dog/BG124204-1.jpg|https://bernergarde.org/DB/photos/Dog/BG124204-1.jpg|https://bernergarde.org/DB/photos/Dog/BG124204-2.jpg|https://bernergarde.org/DB/photos/Dog/BG124204-3.jpg|https://bernergarde.org/DB/photos/Dog/BG124204-4.jpg,output/images/dog_124204_0.jpg|output/images/dog_124204_1.jpg|output/images/dog_124204_2.jpg|output/images/dog_124204_3.jpg|output/images/dog_124204_4.jpg,output/images/dog_124204_0.jpg,756098 ...,Normal,Dark Brown,Scissor,,,Normal,
124732,HK9'S KONA,Female,KONA,,WS50140605 (AKC),"Apr 6, 2015",,HVFARM MAJOR SMOKE' S T-N-T TANK,81532.0,CLARA,115684.0,38077.0,38077.0,,,BG Dog Submission,12/7/2017 9:12:00 PM,HK9'S KONA,https://bernergarde.org/DB/images/NoPhoto2.jpg,,,956000 ...,Normal,Brown,,,,,
125253,DRAGON LESNA MAGIA,Male,DRAGON,115005 (DDC),"PKR.II-124403 (ZKWP), 1133789 (CKC)","Sep 1, 2015",,DAREDEVIL ALPEJSKI SEN,107087.0,DAFNE SWOBODNE ZYCIE,106746.0,38262.0,38262.0,,,BG Dog Submission,1/6/2017 9:39:00 AM,DRAGON LESNA MAGIA,https://bernergarde.org/DB/photos/Dog/BG125253-3.jpg|https://bernergarde.org/DB/photos/Dog/BG125253-3.jpg|https://bernergarde.org/DB/photos/Dog/BG125253-1.jpg|https://bernergarde.org/DB/photos/Dog/BG125253-2.jpg,output/images/dog_125253_0.jpg|output/images/dog_125253_1.jpg|output/images/dog_125253_2.jpg|output/images/dog_125253_3.jpg,output/images/dog_125253_0.jpg,,,,,,,,
127580,MEADOWPARK FIRST CLASS FOR FORTONPARK,Male,RUBEN,,KC (KC),"Aug 23, 2015",,MEADOWPARK VERTIGO,107710.0,MEADOWPARK ONE LOVER,99577.0,38775.0,38775.0,,,GB KC Breed Record Supplement,11/19/2017 4:13:00 PM,MEADOWPARK FIRST CLASS FOR FORTONPARK,https://bernergarde.org/DB/images/NoPhoto2.jpg,,,,,,,,,,
128131,STONEHILL SAFFRON A NEW BEGINNING,Female,,V790219 (AKC),WS52449606,"Dec 31, 2015",,RIDON HENNET JOIG,83672.0,STONEHILL'S STAR SAPHIRE FROM INDIA,71168.0,38920.0,38920.0,,,BG Litter Submission,7/4/2017 8:58:00 PM,STONEHILL SAFFRON A NEW BEGINNING,https://bernergarde.org/DB/images/NoPhoto2.jpg,,,956000 ...,Normal,Dark Brown,Scissor,,,Normal,
128199,DE LI'S HOMEBREW BY THE KEG V HEARTSDESIRE,Male,BREW,V781068 (AKC),WS52555702 (AKC),"Jan 9, 2016","May 27, 2022",HEARTSDESIRE BLACK AND TAN ON TAP,84705.0,DE-LI'S ABSOLUTELY WITHOUT A DOUBT,78452.0,38933.0,38933.0,,Yes,BG Health Submission,6/4/2022 11:20:00 PM,DE LI'S HOMEBREW BY THE KEG V HEARTSDESIRE,https://bernergarde.org/DB/photos/Dog/BG128199-5.jpeg|https://bernergarde.org/DB/photos/Dog/BG128199-5.jpeg|https://bernergarde.org/DB/photos/Dog/BG128199-6.jpeg|https://bernergarde.org/DB/photos/Dog/BG128199-7.jpeg,output/images/dog_128199_0.jpg|output/images/dog_128199_1.jpg|output/images/dog_128199_2.jpg|output/images/dog_128199_3.jpg,output/images/dog_128199_0.jpg,985112 ...,Normal,Brown,Scissor,,,Normal,
128577,RIVERWOOD'S NIGHT WIND,Male,ICCULOUS,V846287 (AKC),WS51944505 (AKC),"Nov 22, 2015",,ZERMATT'S BOOGIE NIGHTS,98179.0,RIVERWOOD'S BRING ON THE WIND,111332.0,38738.0,38738.0,"May, 2020",Yes,BG Dog Submission,3/12/2024 3:37:00 PM,RIVERWOOD'S NIGHT WIND,https://bernergarde.org/DB/photos/Dog/128577I-2.jpg|https://bernergarde.org/DB/photos/Dog/128577I-2.jpg|https://bernergarde.org/DB/photos/Dog/BG128577-4.jpg|https://bernergarde.org/DB/photos/Dog/BG128577-3.jpg|https://bernergarde.org/DB/photos/Dog/BG128577-2.jpg,output/images/dog_128577_0.jpg|output/images/dog_128577_1.jpg|output/images/dog_128577_2.jpg|output/images/dog_128577_3.jpg|output/images/dog_128577_4.jpg,output/images/dog_128577_0.jpg,985112 ...,Normal,Dark Brown,Scissor,,,Normal,
129463,A SECRET WISH VON ROMANSHOF,Female,AMBER,,"PKR.II-120857 (ZKWP), PKR11120857 (ZKWP)","Feb 20, 2015",,ROCKING ARMANI STYLE OF FORWARD,75524.0,MILBU YARA FOR ROMANSHOF,99045.0,39102.0,39102.0,,,BG Dog Submission,3/25/2018 4:17:00 AM,A SECRET WISH VON ROMANSHOF,https://bernergarde.org/DB/photos/Dog/BG129463-1.jpg|https://bernergarde.org/DB/photos/Dog/BG129463-1.jpg|https://bernergarde.org/DB/photos/Dog/a secret wish von romanshof.jpg,output/images/dog_129463_0.jpg|output/images/dog_129463_1.jpg|output/images/dog_129463_2.jpg,output/images/dog_129463_0.jpg,616093 ...,Normal,Dark Brown,Scissor,,36.5 kg,Normal,
129505,SUMMIT'S WE WERE MADE FOR THIS V JOYFUL,Male,DESTIN,V857408 (AKC),WS53144503 (AKC),"Mar 21, 2016","Dec 24, 2025",POWDER KEG FARM'S ADDICTED TO LOVE,75775.0,SUMMIT'S TRES JOLIE V JOYFUL,82397.0,39312.0,39312.0,,,BG Health Submission,2/13/2026 10:50:00 PM,SUMMIT'S WE WERE MADE FOR THIS V JOYFUL,https://bernergarde.org/DB/photos/Dog/BG129505-4.jpg|https://bernergarde.org/DB/photos/Dog/BG129505-4.jpg|https://bernergarde.org/DB/photos/Dog/BG129505-3.jpg|https://bernergarde.org/DB/photos/Dog/BG129505-2.jpg|https://bernergarde.org/DB/photos/Dog/BG129505-8.jpg,output/images/dog_129505_0.jpg|output/images/dog_129505_1.jpg|output/images/dog_129505_2.jpg|output/images/dog_129505_3.jpg|output/images/dog_129505_4.jpg,output/images/dog_129505_0.jpg,956000 ...,Normal,Dark Brown,Scissor,,,Normal,
129557,OWEN V RICKENWIND,Male,OWEN,,SHSB 713625 (SKG),"Oct 16, 2012","Sep 9, 2024",IWAN VAN 'T MAROYKE,76353.0,ELISCHA VOM RICKENWIND,87932.0,39532.0,39532.0,,,BG Health Submission,4/29/2025 11:23:00 PM,OWEN V RICKENWIND,https://bernergarde.org/DB/photos/Dog/BG129557-3.jpg|https://bernergarde.org/DB/photos/Dog/BG129557-3.jpg|https://bernergarde.org/DB/photos/Dog/BG129557-1.jpg|https://bernergarde.org/DB/photos/Dog/BG129557-2.jpg|https://bernergarde.org/DB/photos/Dog/BG129557.jpg,output/images/dog_129557_0.jpg|output/images/dog_129557_1.jpg|output/images/dog_129557_2.jpg|output/images/dog_129557_3.jpg|output/images/dog_129557_4.jpg,output/images/dog_129557_0.jpg,756097 ...,,,,,67,,
129600,TWINHEARTS I'M PRADA YOU'RE NADA,Female,PRADA,V782940 (AKC),WS50585802 (AKC),"Jun 12, 2015",,LIONHEARTS QUAKE IT LIKE AN EARTH SHAKE,61759.0,HICKORY'S WHERE FOR ART THOU MY LOVE V LEFLEUR,84649.0,37958.0,37958.0,,,Show Catalog,3/25/2018 1:52:00 AM,TWINHEARTS I'M PRADA YOU'RE NADA,https://bernergarde.org/DB/photos/Dog/BG129600-2.JPG|https://bernergarde.org/DB/photos/Dog/BG129600-2.JPG|https://bernergarde.org/DB/photos/Dog/BG129600-1.jpeg|https://bernergarde.org/DB/photos/Dog/BG129600-3.JPG|https://bernergarde.org/DB/photos/Dog/BG129600-4.JPG,output/images/dog_129600_0.jpg|output/images/dog_129600_1.jpg|output/images/dog_129600_2.jpg|output/images/dog_129600_3.jpg|output/images/dog_129600_4.jpg,output/images/dog_129600_0.jpg,,,,,,,,
129644,GOLDEN REIGN YOSHI VON ZURICH,Female,YOSHI,,WS53526804 (AKC),"Apr 21, 2016","Jan 26, 2024",BEST BET'S HANDLE WITH KARE,80158.0,TOSCA VON ZURICH,109383.0,39323.0,39323.0,,,BG Health Submission,1/4/2026 12:38:00 AM,GOLDEN REIGN YOSHI VON ZURICH,https://bernergarde.org/DB/images/NoPhoto2.jpg,,,956000 ...,Normal,Dark Brown,Scissor,,,Normal,
129844,FRIESIANS GOODWILL AMBASSADOR,Male,BEN,V920690 (AKC),WS50805701 (AKC),"Jul 19, 2015","Mar 25, 2024",ICON VOM GIPFELFEUER,73922.0,MÓKUSVÖLGYI URSULA,107151.0,39350.0,39350.0,,,BG Health Submission,5/18/2024 9:08:00 AM,FRIESIANS GOODWILL AMBASSADOR,https://bernergarde.org/DB/photos/Dog/BG129844-8.jpg|https://bernergarde.org/DB/photos/Dog/BG129844-8.jpg|https://bernergarde.org/DB/photos/Dog/BG129844-2.jpg|https://bernergarde.org/DB/photos/Dog/BG129844-5.jpg|https://bernergarde.org/DB/photos/Dog/BG129844-6.jpg,output/images/dog_129844_0.jpg|output/images/dog_129844_1.jpg|output/images/dog_129844_2.jpg|output/images/dog_129844_3.jpg|output/images/dog_129844_4.jpg,output/images/dog_129844_0.jpg,835867 ...,Normal,Brown,Scissor,,,Normal,
131625,ARIA'S NO STRINGS ATTACHED AT TENACITY,Male,PAULY,V810869 (AKC),WS53936002 (AKC),"Jun 4, 2016",,ASTIA'S SACRED WARRIOR,99075.0,ARIA'S THIRD TIME'S A CHARM,84159.0,39740.0,39740.0,,Yes,Breeder/Owner,11/19/2025 6:07:00 PM,ARIA'S NO STRINGS ATTACHED AT TENACITY,https://bernergarde.org/DB/photos/Dog/BG131625-8.jpeg|https://bernergarde.org/DB/photos/Dog/BG131625-8.jpeg|https://bernergarde.org/DB/photos/Dog/BG131625-6.jpg|https://bernergarde.org/DB/photos/Dog/BG131625-5.jpg|https://bernergarde.org/DB/photos/Dog/BG131625-10.jpeg,output/images/dog_131625_0.jpg|output/images/dog_131625_1.jpg|output/images/dog_131625_2.jpg|output/images/dog_131625_3.jpg|output/images/dog_131625_4.jpg,output/images/dog_131625_0.jpg,981020 ...,Normal,Brown,Scissor,27.5 in,135 lbs,Normal,
131767,KINELARTY EVERLASTING LOVE,Female,EVIE,,"A24062 (IKC), AT01535601 (KC)","Apr 28, 2016",,STARRY TOWN FAVORITE SON DON GIOVANNI A KINELARTY,80844.0,KINELARTY NORSK STAR STRUCK,73801.0,39781.0,39781.0,,,GB KC Breed Record Supplement,8/6/2024 4:19:00 PM,KINELARTY EVERLASTING LOVE,https://bernergarde.org/DB/photos/Dog/BG131767-1.jpeg|https://bernergarde.org/DB/photos/Dog/BG131767-1.jpeg,output/images/dog_131767_0.jpg|output/images/dog_131767_1.jpg,output/images/dog_131767_0.jpg,958000 ...,Normal,Dark Brown,,,,,
131853,SWISS SILHOUETTE'S AURVANDIL,Male,MILO,V797408 (AKC),WS53503202 (AKC),"Mar 25, 2016","May 27, 2025",SWISS SILHOUETTE'S QUANTUM LEAP OF FAITH,99066.0,ABENDSTERN'S WHATEVER SHE WANTS,111509.0,39795.0,39795.0,,,BG Health Submission,5/31/2025 8:56:00 PM,SWISS SILHOUETTE'S AURVANDIL,https://bernergarde.org/DB/photos/Dog/BG131853-6.jpeg|https://bernergarde.org/DB/photos/Dog/BG131853-6.jpeg|https://bernergarde.org/DB/photos/Dog/BG131853-2.jpg|https://bernergarde.org/DB/photos/Dog/BG131853-3.jpg|https://bernergarde.org/DB/photos/Dog/BG131853-4.jpg,output/images/dog_131853_0.jpg|output/images/dog_131853_1.jpg|output/images/dog_131853_2.jpg|output/images/dog_131853_3.jpg|output/images/dog_131853_4.jpg,output/images/dog_131853_0.jpg,95600 ...,Normal,Dark Brown,Scissor,,,Normal,
132639,NEW DISCOVERYS BIRT,Male,,V771144 (AKC),WS45547203 (AKC),"Nov 19, 2013",,RAMBO OF KNIGHTSTOWN INDIANA,80806.0,REYNOLDS SHANIA,115668.0,37956.0,37956.0,,,AKC Website,9/3/2016 9:56:00 PM,NEW DISCOVERYS BIRT,https://bernergarde.org/DB/images/NoPhoto2.jpg,,,,,,,,,,
132660,SPELLBOUND'S LEGEND OF LUCCHESE,Female,KACEY,,WS54148405,"Jul 6, 2016",,LITTLE MTN'S 1 SHOT DEAL FROM WINDY KNOB,72452.0,SPELLBOUND'S BEACH BUM,90982.0,39897.0,39897.0,,,Breeder/Owner,7/6/2025 7:40:00 PM,SPELLBOUND'S LEGEND OF LUCCHESE,https://bernergarde.org/DB/photos/Dog/BG132660-5.jpg|https://bernergarde.org/DB/photos/Dog/BG132660-5.jpg|https://bernergarde.org/DB/photos/Dog/BG132660-3.jpg|https://bernergarde.org/DB/photos/Dog/BG132660-1.jpg|https://bernergarde.org/DB/photos/Dog/BG132660-4.jpg,output/images/dog_132660_0.jpg|output/images/dog_132660_1.jpg|output/images/dog_132660_2.jpg|output/images/dog_132660_3.jpg|output/images/dog_132660_4.jpg,output/images/dog_132660_0.jpg,,Normal,Dark Brown,Scissor,,,Normal,
134694,GASPARI LINE WENECJA,Female,WINNIE,V860985 (AKC),"PKR.11-125641 (ZKWP), WS60483801 (AKC)","Mar 28, 2016",,SPLENDID THREE COLOR FABIANO GASPARI LINE,134692.0,GASPARI LINE SWEET DREAMS,134693.0,40088.0,40088.0,,,Breeder/Owner,6/6/2025 8:48:00 AM,GASPARI LINE WENECJA,https://bernergarde.org/DB/photos/Dog/BG134694-1.JPG|https://bernergarde.org/DB/photos/Dog/BG134694-1.JPG|https://bernergarde.org/DB/photos/Dog/BG134694-2.jpg,output/images/dog_134694_0.jpg|output/images/dog_134694_1.jpg|output/images/dog_134694_2.jpg,output/images/dog_134694_0.jpg,900164 ...,Normal,Brown,Scissor,,,Normal,
135148,TRAILBOUND'S DESIGNING WOMEN,Female,DIXIE,V845813 (AKC),WS54676201 (AKC),"Jul 26, 2016",,TURIYA'S MOUNTAIN MERIT,100242.0,SPRUCE PEAK'S PAY IT FORWARD V TRAILBOUND,84770.0,40140.0,40140.0,,,BG Dog Submission,5/24/2018 11:37:00 PM,TRAILBOUND'S DESIGNING WOMEN,https://bernergarde.org/DB/photos/Dog/BG135148-1.jpg|https://bernergarde.org/DB/photos/Dog/BG135148-1.jpg,output/images/dog_135148_0.jpg|output/images/dog_135148_1.jpg,output/images/dog_135148_0.jpg,,,,,,,,
135927,TRICOLORTEAMPHENOMENA,Female,PHENOMENA,,LO16127246 (ENCI),"Jun 6, 2016",,KEEP ON SMILING,129971.0,CUDDELSMOM DRIVING MISS DAISY,104205.0,40107.0,40107.0,,,Breeder/Owner,11/22/2024 5:19:00 PM,TRICOLORTEAMPHENOMENA,https://bernergarde.org/DB/photos/Dog/BG135927-1.jpg|https://bernergarde.org/DB/photos/Dog/BG135927-1.jpg|https://bernergarde.org/DB/photos/Dog/BG135927-2.jpg|https://bernergarde.org/DB/photos/Dog/BG135927-3.jpg,output/images/dog_135927_0.jpg|output/images/dog_135927_1.jpg|output/images/dog_135927_2.jpg|output/images/dog_135927_3.jpg,output/images/dog_135927_0.jpg,380260 ...,,Brown,,,,,
135997,PABLO VAN'T STOKERYBOS,Male,PABLO,V860986 (AKC),"L.O.S.H. 1176012 (URCSH), WS55577502 (AKC)","Apr 9, 2016","Oct 1, 2023",JUSTENJOY VAN 'T STOKERYBOS,98591.0,MONA LISA VAN'T STOKERYBOS,128645.0,40256.0,40256.0,,,BG Health Submission,2/27/2024 8:06:00 PM,PABLO VAN'T STOKERYBOS,https://bernergarde.org/DB/photos/Dog/BG135997-1.jpg|https://bernergarde.org/DB/photos/Dog/BG135997-1.jpg|https://bernergarde.org/DB/photos/Dog/BG135997-3.jpg|https://bernergarde.org/DB/photos/Dog/BG135997-2.jpg,output/images/dog_135997_0.jpg|output/images/dog_135997_1.jpg|output/images/dog_135997_2.jpg|output/images/dog_135997_3.jpg,output/images/dog_135997_0.jpg,981100 ...,Normal,Dark Brown,Scissor,,146.7 lbs,Normal,
136396,INDIANLAND TIME TRAVELLERS SECRET POTION,Female,POTION,V809284 (AKC),WS54593701,"Aug 31, 2016",,FOUR-T'S CHUNKY MONKEY,116270.0,SAGEKEEPS VEDA MAGIC IN THE SPEED,88977.0,40358.0,40358.0,,,Breeder/Owner,9/14/2025 8:07:00 PM,INDIANLAND TIME TRAVELLERS SECRET POTION,https://bernergarde.org/DB/images/NoPhoto2.jpg,,,,,,,,,,
136607,RAINIER'S NORTH FACE OF EIGER,Male,EIGER,V812719 (AKC),WS54013102 (AKC),"Jul 4, 2016","Dec 26, 2025",ALPENSPIRIT SWEET CELEBRATION,82433.0,RAINIER'S CATCH OF A LIFE TIME,108161.0,40391.0,40391.0,,Yes,BG Health Submission,12/26/2025 4:50:00 PM,RAINIER'S NORTH FACE OF EIGER,https://bernergarde.org/DB/photos/Dog/BG136607-8.jpg|https://bernergarde.org/DB/photos/Dog/BG136607-8.jpg|https://bernergarde.org/DB/photos/Dog/BG136607-5.jpg|https://bernergarde.org/DB/photos/Dog/BG136607-1.jpg|https://bernergarde.org/DB/photos/Dog/BG136607-7.jpg,output/images/dog_136607_0.jpg|output/images/dog_136607_1.jpg|output/images/dog_136607_2.jpg|output/images/dog_136607_3.jpg|output/images/dog_136607_4.jpg,output/images/dog_136607_0.jpg,956000 ...,Normal,Dark Brown,Scissor,"26""",110 lbs,Normal,
138392,ADMIRAAL AD FROM THE BARKING BUNCH,Male,,V791965 (AKC),WS52781501 (AKC),"May 14, 2015",,JAJA JAAP FROM THE BARKING BUNCH,120049.0,DOUBLE DUTCH FROM THE BARKING BUNCH,108021.0,39600.0,39600.0,,,AKC Website,8/15/2018 2:42:00 PM,ADMIRAAL AD FROM THE BARKING BUNCH,https://bernergarde.org/DB/images/NoPhoto2.jpg,,,,,,,,,,
138416,DEWITS TAHOE,Male,TAHOE,V809318 (AKC),WS52278901 (AKC),"Dec 16, 2015",,SENNWARTS GIORGIO RHETT,119447.0,DARK DEMI ORECON,93788.0,40564.0,40564.0,,,BG Dog Submission,3/16/2017 1:59:00 AM,DEWITS TAHOE,https://bernergarde.org/DB/photos/Dog/BG138416-2.jpg|https://bernergarde.org/DB/photos/Dog/BG138416-2.jpg|https://bernergarde.org/DB/photos/Dog/BG138416-3.jpg|https://bernergarde.org/DB/photos/Dog/BG138416-4.jpg|https://bernergarde.org/DB/photos/Dog/BG138416-5.jpg,output/images/dog_138416_0.jpg|output/images/dog_138416_1.jpg|output/images/dog_138416_2.jpg|output/images/dog_138416_3.jpg|output/images/dog_138416_4.jpg,output/images/dog_138416_0.jpg,,,,,,,,
138789,BLUE SKY'S MYSTICAL POWER OF ONYX,Female,ONYX,,WS55192101 (AKC),"Oct 27, 2016",,BLUE SKY'S CANDYGRAM FOR MONGO,110219.0,INDIANLAND'S GOT THE IT FACTOR,89259.0,40615.0,40615.0,,,BG Dog Submission,3/27/2017 10:06:00 AM,BLUE SKY'S MYSTICAL POWER OF ONYX,https://bernergarde.org/DB/images/NoPhoto2.jpg,,,982000 ...,,,,,,,
